benchmark
180 {'product': [28, 28, 28], 'productlist': [1, 1, 1]}
181 {'product': [29, 29, 29], 'productlist': [1, 1, 1]}
182 {'product': [16, 16, 16], 'productlist': [1, 1, 1]}
183 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
184 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
185 {'product': [27, 27, 27], 'productlist': [1, 1, 1]}
186 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
187 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
188 {'product': [4, 4, 4], 'productlist': [1, 1, 1]}
189 {'product': [23, 23, 23], 'productlist': [1, 1, 1]}
190 {'product': [12, 12, 12], 'productlist': [1, 1, 1]}
191 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
192 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
193 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
194 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
195 {'product': [10, 10, 10], 'productlist': [1, 1, 1]}
196 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
197 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
198 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
199 {'product': [10, 10, 10], 'productlist': [1, 1, 1]}
200 {'product': [12, 12, 12], 'productlist': [1, 1, 1]}
201 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
202 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
203 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
204 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
205 {'product': [21, 21, 21], 'productlist': [1, 1, 1]}
206 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
207 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
208 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
209 {'product': [7, 7, 7], 'productlist': [1, 1, 1]}
210 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
211 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
212 {'product': [17, 17, 17], 'productlist': [1, 1, 1]}
213 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
214 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
215 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
216 {'product': [8, 8, 8], 'productlist': [1, 1, 1]}
217 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
218 {'product': [5, 5, 5], 'productlist': [1, 1, 1]}
219 {'product': [16, 16, 16], 'productlist': [1, 1, 1]}
220 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
221 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
222 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
223 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
224 {'product': [25, 25, 25], 'productlist': [1, 1, 1]}
225 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
226 {'product': [9, 9, 9], 'productlist': [1, 1, 1]}
227 {'product': [12, 12, 12], 'productlist': [1, 1, 1]}
228 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
229 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
230 {'product': [19, 19, 19], 'productlist': [1, 1, 1]}
231 {'product': [10, 10, 10], 'productlist': [1, 1, 1]}
232 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
233 {'product': [12, 12, 12], 'productlist': [1, 1, 1]}
234 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
235 {'product': [7, 7, 7], 'productlist': [1, 1, 1]}
236 {'product': [11, 11, 11], 'productlist': [1, 1, 1]}
237 {'product': [27, 27, 27], 'productlist': [1, 1, 1]}
238 {'product': [18, 18, 18], 'productlist': [1, 1, 1]}
239 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
240 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
241 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
242 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
243 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
244 {'product': [0, 1, 3], 'productlist': [0, 1, 1]}
245 {'product': [15, 15, 15], 'productlist': [1, 1, 1]}
246 {'product': [4, 4, 4], 'productlist': [1, 1, 1]}
247 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
248 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
249 {'product': [8, 8, 8], 'productlist': [1, 1, 1]}
250 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
251 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
252 {'product': [9, 9, 9], 'productlist': [1, 1, 1]}
253 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
254 {'product': [30, 30, 30], 'productlist': [1, 1, 1]}
255 {'product': [14, 14, 14], 'productlist': [1, 1, 1]}
256 {'product': [9, 9, 9], 'productlist': [1, 1, 1]}
257 {'product': [22, 22, 22], 'productlist': [1, 1, 1]}
258 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
259 {'product': [35, 35, 35], 'productlist': [1, 1, 1]}
260 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
261 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
262 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
263 {'product': [0, 16, 33], 'productlist': [0, 1, 1]}
264 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
265 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
266 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
267 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
268 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
269 {'product': [0, 24, 32], 'productlist': [0, 1, 1]}
270 {'product': [0, 14, 32], 'productlist': [0, 1, 1]}
271 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
272 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
273 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
274 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
275 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
276 {'product': [49, 49, 49], 'productlist': [1, 1, 1]}
277 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
278 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
279 {'product': [37, 37, 37], 'productlist': [1, 1, 1]}
280 {'product': [0, 10, 33], 'productlist': [0, 1, 1]}
281 {'product': [0, 15, 33], 'productlist': [0, 1, 1]}
282 {'product': [15, 15, 15], 'productlist': [1, 1, 1]}
283 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
284 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
285 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
286 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
287 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
288 {'product': [43, 43, 43], 'productlist': [1, 1, 1]}
289 {'product': [100, 100, 100], 'productlist': [1, 1, 1]}
290 {'product': [33, 33, 33], 'productlist': [1, 1, 1]}
291 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
292 {'product': [49, 49, 49], 'productlist': [1, 1, 1]}
293 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
294 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
295 {'product': [24, 24, 24], 'productlist': [1, 1, 1]}
296 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
297 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
298 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
299 {'product': [0, 20, 33], 'productlist': [0, 1, 1]}
300 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
301 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
302 {'product': [100, 100, 100], 'productlist': [1, 1, 1]}
303 {'product': [32, 32, 32], 'productlist': [1, 1, 1]}
304 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
305 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
306 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
307 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
308 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
309 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
310 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
311 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
312 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
313 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
314 {'product': [32, 32, 32], 'productlist': [1, 1, 1]}
315 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
316 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
317 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
318 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
319 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
320 {'product': [12, 12, 12], 'productlist': [1, 1, 1]}
321 {'product': [32, 32, 32], 'productlist': [1, 1, 1]}
322 {'product': [46, 46, 46], 'productlist': [1, 1, 1]}
323 {'product': [24, 24, 24], 'productlist': [1, 1, 1]}
324 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
325 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
326 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
327 {'product': [0, 20, 33], 'productlist': [0, 1, 1]}
328 {'product': [34, 34, 34], 'productlist': [1, 1, 1]}
329 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
330 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
331 {'product': [0, 10, 14], 'productlist': [0, 1, 1]}
332 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
333 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
334 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
335 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
336 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
337 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
338 {'product': [16, 16, 16], 'productlist': [1, 1, 1]}
339 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
340 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
341 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
342 {'product': [27, 27, 27], 'productlist': [1, 1, 1]}
343 {'product': [35, 35, 35], 'productlist': [1, 1, 1]}
344 {'product': [100, 100, 100], 'productlist': [1, 1, 1]}
345 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
346 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
347 {'product': [0, 11, 25], 'productlist': [0, 1, 1]}
348 {'product': [0, 27, 32], 'productlist': [0, 1, 1]}
349 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
350 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
351 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
352 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
353 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
354 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
355 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
356 {'product': [37, 37, 37], 'productlist': [1, 1, 1]}
357 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
358 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
359 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
360 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
361 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
362 {'product': [0, 10, 33], 'productlist': [0, 1, 1]}
363 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
364 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
365 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
366 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
367 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
368 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
369 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
