@relation out

@attribute 'fdc ' numeric
@attribute ' td_tr ' numeric
@attribute ' fdcl ' numeric
@attribute ' tr ' numeric
@attribute ' fr ' numeric
@attribute ' fc ' numeric
@attribute ' ftl ' numeric
@attribute ' fdr ' numeric
@attribute ' td ' numeric
@attribute ' fcl ' numeric
@attribute ' fclc ' numeric
@attribute ' class' {' table',' other'}

@data
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.672727,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.688889,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.690476,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.675,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.717391,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.675,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.690476,4.743416,5,1,1,' other'
0,1,0.5,2,2,2,2.764706,0,2,0.25,0.25,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.5,2,2,2,2.772727,0,2,0.25,0.25,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.57735,3,3,2,2.75,1.224745,3,0.5,0.5,' other'
2,2.666667,0.632456,3,1.666667,2,2.826923,1.850926,8,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.709091,4.743416,5,1,1,' other'
0.349927,1,0.679366,7,6.5,1.857143,2.357143,8.710626,7,1.615385,1.615385,' other'
0.866025,1.75,0.547723,4,3.333333,2.5,2.944444,1.387777,7,0.6,0.6,' table'
0,7.5,0.311805,8,8,9,1.954545,0.942809,60,0.388889,0.388889,' table'
0,7,0.316228,5,5,8,2.065217,2.371708,35,0.25,0.25,' table'
0.3,2.368421,0.493548,19,19.5,3.9,3.826087,34.88911,45,2.435897,2.435897,' table'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.672727,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.672727,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.660377,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.672727,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.672727,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.672727,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.672727,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.672727,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.672727,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.660377,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.672727,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.672727,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.694915,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.684211,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.673469,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.717391,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704545,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.690476,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.675,4.743416,5,1,1,' other'
0,1,0.57735,3,3,2,2.681818,1.224745,3,0.5,0.5,' other'
0,2,0.645497,6,6,2,2.6,6.928203,12,1.25,1.25,' table'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.5,2,2,2,2.789474,0,2,0.25,0.25,' other'
0,0,0.707107,0,2,1,2.666667,1.414214,0,0.5,0.5,' other'
0,1,0.935414,1,8,1,2.086207,19.79899,1,3.5,3.5,' other'
0,4,0.447214,5,5,4,2.128205,1.118034,20,0.5,0.5,' table'
0.32219,1,0.707107,15,16,1.882353,2.318681,41.170378,15,4.25,4.25,' other'
0,0.5,0.5,2,2,2,2.7,0,1,0.25,0.25,' other'
3.957679,9.636364,0.217725,22,21.095238,20.136364,2.006438,4.168011,212,0.521445,0.521445,' table'
0.266469,1,0.92582,13,7,1.076923,2.61194,15.116216,13,5.571429,5.571429,' other'
0.257539,1,0.930949,14,7.5,1.071429,2.611111,17.022045,14,6.066667,6.066667,' other'
2.106625,3,0.436436,13,10.5,4.846154,1.87234,8.88116,39,1.238095,1.238095,' table'
0.862007,1.8,0.615882,10,9.666667,2.416667,2.371134,14.602131,18,2.275862,2.275862,' table'
0.8,1.8,0.471405,5,4.5,3.6,2.136364,1.346291,9,0.555556,0.555556,' other'
0,2,0.5,2,2,2,2.692308,0,4,0.25,0.25,' table'
0,2,0.5,2,2,2,2.692308,0,4,0.25,0.25,' table'
0,2,0.645497,6,6,2,2.567568,6.928203,12,1.25,1.25,' table'
0,2,0.666667,9,9,2,2.545455,14.849242,18,2,2,' table'
0,1.833333,0.645497,6,6,2,2.217391,6.928203,11,1.25,1.25,' table'
0,2.875,0.540062,8,8,3,2.105263,8.164966,23,1.166667,1.166667,' table'
0.489898,2.4,0.5547,5,4.333333,2.6,2.857143,2.325383,12,0.769231,0.769231,' table'
0,2,0.57735,3,3,2,3.095238,1.224745,6,0.5,0.5,' table'
0,2.833333,0.527046,6,6,3,2.022727,4.242641,17,0.833333,0.833333,' table'
0,6,0.288675,2,2,6,5.208,2.309401,12,0.083333,0.083333,' other'
